['11', '1', '2', '0', '3', '0', '1', '17', '3', '0', '0', '0', '0', '1', '0', '2', '3', '7']
['11', '2', '2', '1', '5', '0', '1', '15', '3', '0', '1', '0', '0', '1', '0', '2', '4', '8']
['11', '1', '2', '1', '5', '1', '1', '16', '2', '0', '0', '0', '0', '0', '0', '2', '2', '7']
['12', '1', '2', '1', '4', '0', '0', '15', '3', '0', '0', '0', '0', '0', '0', '2', '2', '7']
['11', '1', '2', '0', '4', '0', '0', '15', '2', '0', '0', '0', '0', '1', '0', '2', '2', '7']
['11', '1', '2', '1', '3', '0', '1', '14', '3', '0', '0', '0', '0', '1', '0', '2', '2', '7']
['12', '2', '2', '1', '4', '0', '1', '16', '1', '0', '0', '0', '0', '0', '0', '2', '2', '7']
['11', '1', '2', '1', '4', '0', '1', '16', '2', '0', '0', '1', '0', '1', '0', '2', '1', '8']
['11', '1', '2', '1', '4', '0', '0', '16', '2', '1', '0', '0', '0', '1', '0', '2', '1', '7']
['12', '2', '2', '0', '4', '0', '1', '17', '1', '0', '0', '0', '0', '0', '0', '2', '1', '7']
